Date,city,dose1_all,dose1_all_c,dose1_all_c_prcent,dose1_youth,dose1_youth_c,dose1_youth_c_prcent,dose1_senior,dose1_senior_c,dose1_senior_c_prcent,pop_all,pop_youth,pop_senior
2021-08-19,San Marino,9,10230,83.3%,2,1049,92.8%,1,2677,96.4%,12278,1130,2778
2021-08-19,Santa Clarita,232,140303,74.4%,34,11659,65.1%,NA,25537,100.0%,188565,17905,25541
2021-08-19,Santa Fe Springs,25,11625,73.1%,7,875,61.3%,3,2349,82.1%,15903,1428,2862
2021-08-19,Santa Monica,68,69963,82.9%,7,3791,92.5%,7,15124,96.0%,84349,4098,15757
2021-08-19,Sierra Madre,9,8214,82.1%,2,649,86.9%,0,2475,95.2%,10002,747,2601
2021-08-19,Signal Hill,11,7474,75.4%,3,448,52.0%,0,1401,92.0%,9907,861,1523
2021-08-19,South El Monte,27,12808,72.2%,5,1009,53.5%,1,2237,94.0%,17745,1887,2381
2021-08-19,South Gate,131,56852,70.8%,20,5166,58.5%,2,9041,98.2%,80283,8828,9210
2021-08-19,South Pasadena,21,19987,85.5%,NA,1870,99.7%,3,3807,92.3%,23381,1875,4123
2021-08-19,Temple City,27,27219,82.4%,1,2193,92.3%,3,5903,83.9%,33037,2376,7036
2021-08-19,Torrance,123,105279,80.1%,27,7530,74.2%,10,24687,99.0%,131421,10144,24948
2021-08-19,Walnut,20,22721,80.8%,NA,1666,99.6%,2,5738,92.0%,28130,1672,6239
2021-08-19,West Covina,124,72716,77.4%,21,5033,65.0%,9,15388,91.9%,93958,7743,16737
2021-08-19,West Hollywood,20,26741,77.1%,1,309,61.4%,5,4272,78.1%,34698,503,5467
2021-08-19,Westlake Village,4,5934,76.6%,1,408,79.2%,2,2038,94.8%,7749,515,2149
2021-08-19,Whittier,110,53076,70.6%,22,4052,59.2%,5,10694,90.6%,75214,6850,11804
2021-08-18,Acton,3,3274,45.0%,1,160,32.9%,0,923,63.3%,7269,486,1458
2021-08-18,Agua Dulce,7,1998,51.6%,1,96,43.0%,1,638,69.0%,3871,223,925
2021-08-18,Altadena,36,29524,75.8%,7,2111,66.7%,9,7514,92.4%,38928,3164,8134
2021-08-18,Anaverde,0,710,52.7%,0,38,34.9%,0,186,66.7%,1347,109,279
2021-08-18,Angeles National Forest,3,829,73.0%,NA,60,98.4%,0,172,81.5%,1136,61,211
2021-08-18,Athens Village,7,2904,71.7%,0,235,58.0%,NA,493,100.0%,4048,405,493
2021-08-18,Westmont,64,20133,57.1%,9,1668,43.6%,4,3662,82.6%,35234,3827,4431
2021-08-18,Avocado Heights,4,4026,69.7%,0,329,55.2%,0,670,83.9%,5780,596,799
2021-08-18,Bassett,17,9345,74.3%,2,623,49.4%,0,1922,97.4%,12572,1262,1973
2021-08-18,Canyon Country,7,1178,70.3%,0,104,67.5%,0,215,84.3%,1676,154,255
2021-08-18,Castaic,12,12412,51.6%,1,1013,50.0%,1,2024,89.6%,24050,2027,2259
2021-08-18,Charter Oak,27,7848,68.0%,3,597,65.8%,1,1501,81.3%,11546,907,1847
2021-08-18,Del Aire,6,2931,77.5%,0,218,75.4%,0,466,87.6%,3780,289,532
2021-08-18,Del Sur,8,1119,50.2%,2,75,50.3%,0,270,49.7%,2227,149,543
2021-08-18,Desert View Highlands,1,1218,56.9%,1,118,59.6%,0,221,64.8%,2141,198,341
2021-08-18,East La Mirada,10,3360,71.4%,1,243,63.6%,0,729,93.5%,4706,382,780
2021-08-18,East Los Angeles,144,71175,69.4%,23,7035,60.1%,6,11258,91.8%,102599,11709,12269
2021-08-18,East Pasadena,6,5361,79.3%,0,336,66.7%,0,1311,84.6%,6758,504,1549
2021-08-18,East Rancho Dominguez,36,7473,61.3%,13,771,50.6%,2,1073,92.7%,12183,1523,1157
2021-08-18,East Whittier,8,2774,60.4%,0,218,53.0%,1,586,83.6%,4590,411,701
2021-08-18,El Camino Village,16,5460,74.8%,5,422,58.0%,0,1011,98.2%,7300,727,1030
2021-08-18,Elizabeth Lake,0,527,34.7%,0,25,23.4%,0,125,46.3%,1517,107,270
2021-08-18,Florence-Graham,90,35827,69.0%,12,3541,55.2%,0,4546,94.6%,51924,6415,4803
2021-08-18,Hacienda Heights,64,38170,76.0%,11,2567,70.0%,5,9544,88.5%,50240,3666,10786
2021-08-18,Kagel/Lopez Canyons,1,600,51.4%,0,35,31.8%,0,132,48.0%,1167,110,275
2021-08-18,La Crescenta-Montrose,9,13981,78.1%,0,1292,99.7%,2,2921,92.8%,17899,1296,3147
2021-08-18,La Rambla,3,1018,57.0%,1,68,47.9%,1,251,73.2%,1785,142,343
2021-08-18,Ladera Heights,6,4652,72.4%,0,216,59.3%,1,1585,85.8%,6422,364,1847
2021-08-18,Lake Los Angeles,12,5280,48.8%,1,478,40.6%,0,1006,73.3%,10813,1178,1373
2021-08-18,Lake Manor,1,1026,69.8%,0,74,82.2%,0,215,70.5%,1470,90,305
2021-08-18,Lennox,29,12233,66.4%,7,1225,57.9%,2,1606,87.9%,18429,2116,1827
2021-08-18,Leona Valley,0,589,36.1%,0,14,16.9%,0,232,54.7%,1630,83,424
2021-08-18,Littlerock,3,1576,44.9%,0,133,42.5%,0,335,63.2%,3507,313,530
2021-08-18,Littlerock/Juniper Hills,0,706,55.3%,0,40,59.7%,0,234,62.2%,1277,67,376
2021-08-18,Littlerock/Pearblossom,2,1645,54.1%,0,154,54.0%,0,318,70.8%,3042,285,449
2021-08-18,Marina del Rey,12,7850,92.3%,0,127,68.3%,1,1204,90.7%,8508,186,1328
2021-08-18,North Lancaster,4,647,58.0%,0,35,36.8%,NA,245,100.0%,1116,95,245
2021-08-18,North Whittier,11,5059,70.0%,2,357,50.3%,0,1168,87.8%,7231,710,1330
2021-08-18,East San Gabriel,24,16485,77.8%,9,1301,79.3%,1,3506,84.5%,21191,1641,4148
2021-08-18,Pearblossom/Llano,1,511,29.2%,0,27,22.9%,0,144,32.2%,1748,118,447
2021-08-18,Quartz Hill,13,5581,49.3%,2,328,36.5%,4,1655,78.6%,11319,899,2106
2021-08-18,Rancho Dominguez,2,1860,77.3%,0,107,63.7%,0,439,69.9%,2407,168,628
2021-08-18,Rosewood,0,610,53.8%,0,45,42.1%,0,144,75.4%,1134,107,191
2021-08-18,Rosewood/East Gardena,2,792,74.4%,0,49,55.1%,0,159,74.0%,1064,89,215
2021-08-18,Rosewood/West Rancho Dominguez,2,1612,56.0%,0,152,49.7%,0,286,78.6%,2878,306,364
2021-08-18,Rowland Heights,31,35638,78.3%,4,2294,74.6%,0,8391,87.0%,45524,3075,9648
2021-08-18,San Jose Hills,31,12183,72.0%,4,940,54.3%,0,2062,93.0%,16912,1731,2217
2021-08-18,San Pasqual,0,1520,87.5%,0,107,81.1%,0,353,94.4%,1737,132,374
2021-08-18,Santa Monica Mountains,11,10958,64.4%,0,774,60.0%,2,2864,83.6%,17015,1291,3425
2021-08-18,South San Gabriel,7,6462,81.4%,0,419,73.4%,0,1620,91.4%,7942,571,1772
2021-08-18,South Whittier,84,34299,67.8%,13,2770,56.2%,4,5678,85.1%,50584,4933,6674
2021-08-18,Stevenson Ranch,15,14221,75.9%,2,1660,82.0%,1,1964,98.5%,18736,2024,1994
2021-08-18,Sun Village,8,3026,60.0%,1,274,53.1%,0,523,78.8%,5041,516,664
2021-08-18,Sunrise Village,0,830,74.1%,0,65,66.3%,NA,223,100.0%,1120,98,223
2021-08-18,Twin Lakes/Oat Mountain,0,1004,68.8%,0,57,58.2%,0,177,77.3%,1460,98,229
2021-08-18,Val Verde,4,1806,62.1%,0,162,56.3%,0,292,79.8%,2907,288,366
2021-08-18,Valencia,2,2271,88.3%,1,355,93.2%,NA,158,100.0%,2573,381,158
2021-08-18,Valinda,30,14548,73.6%,5,1136,59.8%,5,2618,94.1%,19756,1900,2783
2021-08-18,View Park/Windsor Hills,18,7489,70.8%,4,409,53.9%,0,2231,84.5%,10571,759,2639
2021-08-18,Walnut Park,26,9771,72.7%,5,876,61.2%,1,1672,97.1%,13438,1432,1722
2021-08-18,West Antelope Valley,7,483,34.2%,2,31,32.3%,1,148,40.9%,1414,96,362
2021-08-18,West Carson,29,15378,79.6%,5,871,68.3%,0,4005,91.5%,19327,1275,4376
2021-08-18,West Puente Valley,16,6186,73.5%,1,489,61.7%,1,1153,91.7%,8419,793,1257
2021-08-18,West Rancho Dominguez,3,712,61.3%,1,58,55.2%,0,167,77.7%,1161,105,215
2021-08-18,West Whittier/Los Nietos,31,16502,71.6%,5,1248,56.0%,1,3344,92.8%,23033,2229,3602
2021-08-18,Westfield/Academy Hills,3,1062,87.8%,2,86,96.6%,NA,335,100.0%,1210,89,335
2021-08-18,White Fence Farms,7,1685,48.3%,1,98,44.7%,0,531,69.1%,3491,219,768
2021-08-18,Willowbrook,43,17643,61.7%,10,1680,50.8%,3,2745,87.3%,28616,3308,3145
2021-08-18,Wiseburn,5,4075,79.1%,2,356,82.6%,0,735,89.9%,5152,431,818
2021-08-19,Acton,13,3287,45.2%,2,162,33.3%,1,924,63.4%,7269,486,1458
2021-08-19,Agua Dulce,0,1998,51.6%,0,96,43.0%,0,638,69.0%,3871,223,925
2021-08-19,Altadena,35,29559,75.9%,6,2117,66.9%,4,7518,92.4%,38928,3164,8134
2021-08-19,Anaverde,4,714,53.0%,2,40,36.7%,0,186,66.7%,1347,109,279
2021-08-19,Angeles National Forest,0,829,73.0%,NA,60,98.4%,0,172,81.5%,1136,61,211
2021-08-19,Athens Village,11,2915,72.0%,3,238,58.8%,NA,493,100.0%,4048,405,493
2021-08-19,Westmont,49,20182,57.3%,3,1671,43.7%,3,3665,82.7%,35234,3827,4431
2021-08-19,Avocado Heights,10,4036,69.8%,0,329,55.2%,1,671,84.0%,5780,596,799
2021-08-19,Bassett,15,9360,74.5%,4,627,49.7%,2,1924,97.5%,12572,1262,1973
2021-08-19,Canyon Country,2,1180,70.4%,0,104,67.5%,0,215,84.3%,1676,154,255
2021-08-19,Castaic,28,12440,51.7%,8,1021,50.4%,1,2025,89.6%,24050,2027,2259
2021-08-19,Charter Oak,17,7865,68.1%,3,600,66.2%,0,1501,81.3%,11546,907,1847
2021-08-19,Del Aire,2,2933,77.6%,1,219,75.8%,0,466,87.6%,3780,289,532
2021-08-19,Del Sur,2,1121,50.3%,1,76,51.0%,0,270,49.7%,2227,149,543
2021-08-19,Desert View Highlands,3,1221,57.0%,0,118,59.6%,1,222,65.1%,2141,198,341
2021-08-19,East La Mirada,10,3370,71.6%,1,244,63.9%,0,729,93.5%,4706,382,780
2021-08-19,East Los Angeles,150,71325,69.5%,19,7054,60.2%,9,11267,91.8%,102599,11709,12269
2021-08-19,East Pasadena,9,5370,79.5%,0,336,66.7%,1,1312,84.7%,6758,504,1549
2021-08-19,East Rancho Dominguez,22,7495,61.5%,3,774,50.8%,0,1073,92.7%,12183,1523,1157
2021-08-19,East Whittier,4,2778,60.5%,0,218,53.0%,0,586,83.6%,4590,411,701
2021-08-19,El Camino Village,13,5473,75.0%,7,429,59.0%,1,1012,98.3%,7300,727,1030
2021-08-19,Elizabeth Lake,2,529,34.9%,0,25,23.4%,0,125,46.3%,1517,107,270
2021-08-19,Florence-Graham,88,35915,69.2%,11,3552,55.4%,3,4549,94.7%,51924,6415,4803
2021-08-19,Hacienda Heights,51,38221,76.1%,8,2575,70.2%,4,9548,88.5%,50240,3666,10786
2021-08-19,Kagel/Lopez Canyons,2,602,51.6%,0,35,31.8%,0,132,48.0%,1167,110,275
2021-08-19,La Crescenta-Montrose,13,13994,78.2%,2,1294,99.8%,2,2923,92.9%,17899,1296,3147
2021-08-19,La Rambla,4,1022,57.3%,1,69,48.6%,0,251,73.2%,1785,142,343
2021-08-19,Ladera Heights,5,4657,72.5%,0,216,59.3%,1,1586,85.9%,6422,364,1847
2021-08-19,Lake Los Angeles,9,5289,48.9%,0,478,40.6%,1,1007,73.3%,10813,1178,1373
2021-08-19,Lake Manor,0,1026,69.8%,0,74,82.2%,0,215,70.5%,1470,90,305
2021-08-19,Lennox,22,12255,66.5%,5,1230,58.1%,0,1606,87.9%,18429,2116,1827
2021-08-19,Leona Valley,2,591,36.3%,0,14,16.9%,0,232,54.7%,1630,83,424
2021-08-19,Littlerock,3,1579,45.0%,0,133,42.5%,0,335,63.2%,3507,313,530
2021-08-19,Littlerock/Juniper Hills,0,706,55.3%,0,40,59.7%,0,234,62.2%,1277,67,376
2021-08-19,Littlerock/Pearblossom,2,1647,54.1%,1,155,54.4%,0,318,70.8%,3042,285,449
2021-08-19,Marina del Rey,9,7859,92.4%,0,127,68.3%,0,1204,90.7%,8508,186,1328
2021-08-19,North Lancaster,2,649,58.2%,0,35,36.8%,NA,245,100.0%,1116,95,245
2021-08-19,North Whittier,11,5070,70.1%,2,359,50.6%,0,1168,87.8%,7231,710,1330
2021-08-19,East San Gabriel,12,16497,77.8%,1,1302,79.3%,0,3506,84.5%,21191,1641,4148
2021-08-19,Pearblossom/Llano,1,512,29.3%,0,27,22.9%,1,145,32.4%,1748,118,447
2021-08-19,Quartz Hill,17,5598,49.5%,4,332,36.9%,1,1656,78.6%,11319,899,2106
2021-08-19,Rancho Dominguez,7,1867,77.6%,0,107,63.7%,1,440,70.1%,2407,168,628
2021-08-19,Rosewood,2,612,54.0%,0,45,42.1%,0,144,75.4%,1134,107,191
2021-08-19,Rosewood/East Gardena,2,794,74.6%,1,50,56.2%,0,159,74.0%,1064,89,215
2021-08-19,Rosewood/West Rancho Dominguez,7,1619,56.3%,0,152,49.7%,1,287,78.8%,2878,306,364
2021-08-19,Rowland Heights,30,35668,78.3%,0,2294,74.6%,2,8393,87.0%,45524,3075,9648
2021-08-19,San Jose Hills,38,12221,72.3%,9,949,54.8%,0,2062,93.0%,16912,1731,2217
2021-08-19,San Pasqual,0,1520,87.5%,0,107,81.1%,0,353,94.4%,1737,132,374
2021-08-19,Santa Monica Mountains,7,10965,64.4%,2,776,60.1%,1,2865,83.6%,17015,1291,3425
2021-08-19,South San Gabriel,10,6472,81.5%,0,419,73.4%,3,1623,91.6%,7942,571,1772
2021-08-19,South Whittier,72,34371,67.9%,19,2789,56.5%,0,5678,85.1%,50584,4933,6674
2021-08-19,Stevenson Ranch,21,14242,76.0%,6,1666,82.3%,1,1965,98.5%,18736,2024,1994
2021-08-19,Sun Village,13,3039,60.3%,3,277,53.7%,2,525,79.1%,5041,516,664
2021-08-19,Sunrise Village,2,832,74.3%,1,66,67.3%,NA,223,100.0%,1120,98,223
2021-08-19,Twin Lakes/Oat Mountain,5,1009,69.1%,0,57,58.2%,0,177,77.3%,1460,98,229
2021-08-19,Val Verde,1,1807,62.2%,0,162,56.3%,0,292,79.8%,2907,288,366
2021-08-19,Valencia,2,2273,88.3%,0,355,93.2%,NA,158,100.0%,2573,381,158
2021-08-19,Valinda,34,14582,73.8%,5,1141,60.1%,2,2620,94.1%,19756,1900,2783
2021-08-19,View Park/Windsor Hills,13,7502,71.0%,1,410,54.0%,1,2232,84.6%,10571,759,2639
2021-08-19,Walnut Park,23,9794,72.9%,3,879,61.4%,0,1672,97.1%,13438,1432,1722
2021-08-19,West Antelope Valley,2,485,34.3%,0,31,32.3%,1,149,41.2%,1414,96,362
2021-08-19,West Carson,15,15393,79.6%,1,872,68.4%,1,4006,91.5%,19327,1275,4376
2021-08-19,West Puente Valley,15,6201,73.7%,1,490,61.8%,5,1158,92.1%,8419,793,1257
2021-08-19,West Rancho Dominguez,1,713,61.4%,0,58,55.2%,0,167,77.7%,1161,105,215
2021-08-19,West Whittier/Los Nietos,26,16528,71.8%,3,1251,56.1%,0,3344,92.8%,23033,2229,3602
2021-08-19,Westfield/Academy Hills,0,1062,87.8%,0,86,96.6%,NA,335,100.0%,1210,89,335
2021-08-19,White Fence Farms,4,1689,48.4%,1,99,45.2%,1,532,69.3%,3491,219,768
2021-08-19,Willowbrook,73,17716,61.9%,14,1694,51.2%,5,2750,87.4%,28616,3308,3145
2021-08-19,Wiseburn,1,4076,79.1%,1,357,82.8%,0,735,89.9%,5152,431,818
2021-08-18,Los Angeles,4252,2443445,71%,593,160234,56%,297,435054,85%,3465740,285895,511084
2021-08-19,Los Angeles,4159,2447604,71%,528,160762,56%,286,435340,85%,3465740,285895,511084
